B2,B3,B4,B8,rh98,region
0.0466,0.0713,0.0754,0.2562,16.850000381469727,WesternGhats
0.03045,0.0511,0.0333,0.2755,13.260000228881836,WesternGhats
0.03825,0.05845,0.0522,0.2791,9.8100004196167,WesternGhats
0.0334,0.0517,0.0355,0.305,18.09000015258789,WesternGhats
0.03985,0.0611,0.0566,0.2346,10.40999984741211,WesternGhats
0.0324,0.0619,0.03975,0.31945,22.540001,WesternGhats
0.02655,0.0477,0.0291,0.2745,20.969999,WesternGhats
0.02575,0.0488,0.0303,0.27985,21.15999984741211,WesternGhats
0.0336,0.053,0.0484,0.2581,20.670000076293945,WesternGhats
0.0787,0.1142,0.1278,0.2944,2.5399999618530273,WesternGhats
0.0303,0.0524,0.03355,0.3096,17.81999969482422,WesternGhats
0.0267,0.0467,0.0257,0.2853,8.050000190734863,WesternGhats
0.02885,0.05055,0.0274,0.30065,8.350000381469727,WesternGhats
0.027,0.0512,0.0293,0.2962,16.079999923706055,WesternGhats
0.0456,0.0789,0.0616,0.3338,3.7799999713897705,WesternGhats
0.025,0.0405,0.0267,0.2533,43.81999969482422,WesternGhats
0.05155,0.0806,0.08775,0.2966,2.4700000286102295,WesternGhats
0.0422,0.0692,0.0572,0.3044,7.150000095367432,WesternGhats
0.03085,0.0566,0.0343,0.2932,15.800000190734863,WesternGhats
0.02985,0.05125,0.03315,0.28215,19.360001,WesternGhats
0.02705,0.0459,0.03105,0.25725,17.610001,WesternGhats
0.0344,0.055,0.04295,0.2564,9.609999656677246,WesternGhats
0.03955,0.0625,0.0562,0.28385,9.90999984741211,WesternGhats
0.029,0.0489,0.0327,0.2984,21.56999969482422,WesternGhats
0.0397,0.0612,0.0431,0.3193,28.450001,WesternGhats
0.0382,0.06105,0.0677,0.25235,10.539999961853027,WesternGhats
0.03025,0.05175,0.0321,0.31925,22.389999,WesternGhats
0.0298,0.0493,0.0328,0.3075,25.049999,WesternGhats
0.0252,0.042,0.0272,0.26725,26.809999,WesternGhats
0.0396,0.0625,0.0527,0.2959,6.400000095367432,WesternGhats
0.0359,0.0529,0.0442,0.262,21.760000228881836,WesternGhats
0.0399,0.0602,0.05,0.243,14.6899995803833,WesternGhats
0.0426,0.0599,0.0619,0.2811,4.21999979019165,WesternGhats
0.0483,0.0713,0.0852,0.2544,6.929999828338623,WesternGhats
0.03945,0.05455,0.04835,0.25195,6.610000133514404,WesternGhats
0.0527,0.079,0.07905,0.28575,9.59000015258789,WesternGhats
0.03335,0.05395,0.0376,0.28475,19.25,WesternGhats
0.03635,0.054,0.0416,0.27275,22.510000228881836,WesternGhats
0.03535,0.05905,0.0366,0.3049,5.019999980926514,WesternGhats
0.0556,0.0838,0.08475,0.29885,7.0,WesternGhats
0.0389,0.0596,0.04625,0.273,13.75,WesternGhats
0.03845,0.0567,0.04455,0.24795,21.450001,WesternGhats
0.0514,0.07555,0.07235,0.2873,8.899999618530273,WesternGhats
0.0394,0.0591,0.0571,0.2722,18.879999,WesternGhats
0.03315,0.05205,0.03805,0.30115,24.799999,WesternGhats
0.0301,0.0499,0.0324,0.3115,23.709999,WesternGhats
0.03185,0.05245,0.03445,0.29985,23.93000030517578,WesternGhats
0.03095,0.0497,0.03635,0.26415,17.870001,WesternGhats
0.0321,0.0521,0.0398,0.2634,30.870001,WesternGhats
0.0271,0.0461,0.0254,0.2991,14.569999694824219,WesternGhats
0.032,0.05125,0.0309,0.27805,15.430000305175781,WesternGhats
0.0379,0.0556,0.0497,0.2329,19.059999,WesternGhats
0.0396,0.057,0.0523,0.2357,5.119999885559082,WesternGhats
0.0326,0.05085,0.0357,0.27255,12.430000305175781,WesternGhats
0.043,0.0633,0.0669,0.2555,6.5,WesternGhats
0.0456,0.06655,0.061,0.26405,3.2899999618530273,WesternGhats
0.0393,0.0579,0.0501,0.2374,16.18000030517578,WesternGhats
0.1004,0.1282,0.1402,0.2729,15.170000076293945,WesternGhats
0.0574,0.0765,0.0807,0.2354,15.170000076293945,WesternGhats
0.04035,0.06135,0.0509,0.27165,10.010000228881836,WesternGhats
0.0349,0.0529,0.0386,0.2864,14.760000228881836,WesternGhats
0.0576,0.0848,0.1106,0.2422,6.739999771118164,WesternGhats
0.06545,0.09535,0.1332,0.2948,9.359999656677246,WesternGhats
0.0412,0.0616,0.0599,0.2607,11.90999984741211,WesternGhats
0.06835,0.1101,0.1554,0.3194,3.6700000762939453,WesternGhats
0.0607,0.0868,0.0913,0.2741,2.609999895095825,WesternGhats
0.0334,0.0575,0.0408,0.3053,6.440000057220459,WesternGhats
0.0363,0.0557,0.0447,0.2465,5.269999980926514,WesternGhats
0.0325,0.0566,0.03555,0.29715,11.619999885559082,WesternGhats
0.0371,0.0561,0.0477,0.2657,15.770000457763672,WesternGhats
0.0314,0.058,0.0315,0.2981,9.9399995803833,WesternGhats
0.0262,0.0512,0.027,0.32305,19.969999,WesternGhats
0.036,0.0555,0.0527,0.273,17.31999969482422,WesternGhats
0.0271,0.0445,0.0277,0.2685,20.239999771118164,WesternGhats
